"filename", "language", "YAML", "Markdown", "Properties", "comment", "blank", "total"
"\git\Mikrotik-RouterOs-Ansible\README.md", "Markdown", 0, 28, 0, 0, 4, 32
"\git\Mikrotik-RouterOs-Ansible\ansible.cfg", "Properties", 0, 0, 23, 344, 84, 451
"\git\Mikrotik-RouterOs-Ansible\docs\ansible_connections\overview.md", "Markdown", 0, 12, 0, 0, 1, 13
"\git\Mikrotik-RouterOs-Ansible\docs\create_backup\overview.md", "Markdown", 0, 36, 0, 0, 6, 42
"\git\Mikrotik-RouterOs-Ansible\docs\dhcp_client\overview.md", "Markdown", 0, 23, 0, 0, 7, 30
"\git\Mikrotik-RouterOs-Ansible\docs\dhcp_server\overview.md", "Markdown", 0, 73, 0, 0, 6, 79
"\git\Mikrotik-RouterOs-Ansible\docs\dns_server\overview.md", "Markdown", 0, 39, 0, 0, 6, 45
"\git\Mikrotik-RouterOs-Ansible\docs\firewall\overview.md", "Markdown", 0, 60, 0, 0, 6, 66
"\git\Mikrotik-RouterOs-Ansible\docs\graphing\overview.md", "Markdown", 0, 38, 0, 0, 6, 44
"\git\Mikrotik-RouterOs-Ansible\docs\interfaces-bridge\bridge.md", "Markdown", 0, 87, 0, 0, 10, 97
"\git\Mikrotik-RouterOs-Ansible\docs\interfaces-ethernet\ethernet.md", "Markdown", 0, 114, 0, 0, 8, 122
"\git\Mikrotik-RouterOs-Ansible\docs\interfaces-list\interface_list.md", "Markdown", 0, 76, 0, 0, 10, 86
"\git\Mikrotik-RouterOs-Ansible\docs\interfaces-vlan\vlan.md", "Markdown", 0, 59, 0, 0, 8, 67
"\git\Mikrotik-RouterOs-Ansible\docs\interfaces-wireless\wireless.md", "Markdown", 0, 124, 0, 0, 7, 131
"\git\Mikrotik-RouterOs-Ansible\docs\ntp_client\overview.md", "Markdown", 0, 28, 0, 0, 6, 34
"\git\Mikrotik-RouterOs-Ansible\docs\set_identity\overview.md", "Markdown", 0, 22, 0, 0, 6, 28
"\git\Mikrotik-RouterOs-Ansible\docs\ssl_certificates\overview.md", "Markdown", 0, 38, 0, 0, 7, 45
"\git\Mikrotik-RouterOs-Ansible\docs\user_managment\users_managment.md", "Markdown", 0, 50, 0, 0, 7, 57
"\git\Mikrotik-RouterOs-Ansible\inventories\example\README.md", "Markdown", 0, 2, 0, 0, 8, 10
"\git\Mikrotik-RouterOs-Ansible\inventories\example\docs\mikrotik\router.md", "Markdown", 0, 24, 0, 0, 4, 28
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\all\certificates.yml", "YAML", 6, 0, 0, 0, 0, 6
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\all\users.yml", "YAML", 11, 0, 0, 0, 0, 11
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\jenkins\paths.yml", "YAML", 5, 0, 0, 0, 2, 7
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\jenkins\ssh_key.yml", "YAML", 3, 0, 0, 0, 0, 3
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\jenkins\ssl_certificate.yml", "YAML", 1, 0, 0, 0, 0, 1
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\jenkins\technical_accounts.yml", "YAML", 13, 0, 0, 0, 2, 15
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\jenkins_master\app_configuration.yml", "YAML", 12, 0, 0, 0, 0, 12
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\jenkins_master\credentials.yml", "YAML", 23, 0, 0, 0, 5, 28
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\jenkins_slave_linux\jenkins_slave_app_configuration.yml", "YAML", 8, 0, 0, 0, 0, 8
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\certificates.yml", "YAML", 5, 0, 0, 0, 0, 5
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\connection_parameters.yml", "YAML", 5, 0, 0, 0, 0, 5
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\dhcp_leaves.yml", "YAML", 11, 0, 0, 0, 1, 12
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\dhcp_server.yml", "YAML", 19, 0, 0, 0, 4, 23
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\dhcp_server_networks.yml", "YAML", 33, 0, 0, 0, 4, 37
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\dhcp_server_pools.yml", "YAML", 17, 0, 0, 0, 3, 20
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\dns_servers.yml", "YAML", 7, 0, 0, 0, 0, 7
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\dns_servers_static_records.yml", "YAML", 15, 0, 0, 0, 1, 16
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\firewall_nat_rules.yml", "YAML", 28, 0, 0, 0, 0, 28
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\firewall_rules.yml", "YAML", 104, 0, 0, 0, 0, 104
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\interfaces_vlans.yml", "YAML", 12, 0, 0, 0, 0, 12
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\ntp_client.yml", "YAML", 4, 0, 0, 0, 0, 4
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\routeros\wireless_security_profiles.yml", "YAML", 7, 0, 0, 0, 1, 8
"\git\Mikrotik-RouterOs-Ansible\inventories\example\group_vars\workstastions\user_profile.yml", "YAML", 8, 0, 0, 0, 1, 9
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\docker-002.rachuna.net.yml", "YAML", 2, 0, 0, 0, 0, 2
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\jenkins-master.rachuna.net.yml", "YAML", 2, 0, 0, 0, 0, 2
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\jenkins-slave.rachuna.net.yml", "YAML", 10, 0, 0, 0, 1, 11
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\localhost.yml", "YAML", 7, 0, 0, 0, 1, 8
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\backup.yml", "YAML", 1, 0, 0, 0, 0, 1
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\connection.yml", "YAML", 1, 0, 0, 0, 2, 3
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\dhcp_client.yml", "YAML", 4, 0, 0, 0, 1, 5
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\interfaces-bridges.yml", "YAML", 23, 0, 0, 0, 0, 23
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\interfaces-ethernet.yml", "YAML", 39, 0, 0, 0, 0, 39
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\interfaces-lists.yml", "YAML", 24, 0, 0, 0, 1, 25
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\interfaces-wireless.yml", "YAML", 24, 0, 0, 0, 0, 24
"\git\Mikrotik-RouterOs-Ansible\inventories\example\hosts.yml", "YAML", 19, 0, 0, 0, 0, 19
"\git\Mikrotik-RouterOs-Ansible\playbooks\configure_firewall.yml", "YAML", 20, 0, 0, 0, 1, 21
"\git\Mikrotik-RouterOs-Ansible\playbooks\configure_router.yml", "YAML", 94, 0, 0, 0, 14, 108
"\git\Mikrotik-RouterOs-Ansible\playbooks\create_backup.yml", "YAML", 14, 0, 0, 0, 0, 14
"\git\Mikrotik-RouterOs-Ansible\playbooks\users_managment.yml", "YAML", 11, 0, 0, 0, 0, 11
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\defaults\main.yml", "YAML", 7, 0, 0, 0, 0, 7
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\create_backup_on_mikrotik.yml", "YAML", 17, 0, 0, 0, 3, 20
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\create_infrastructure_directories_on_localhost.yml", "YAML", 27, 0, 0, 0, 3, 30
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\download_backup.yml", "YAML", 23, 0, 0, 0, 6, 29
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\install_tools.yml", "YAML", 15, 0, 0, 0, 3, 18
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\main.yml", "YAML", 10, 0, 0, 0, 5, 15
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\vars\main.yml", "YAML", 3, 0, 0, 0, 0, 3
